cluster,gpt_requirement,best_gemini_requirement,similarity_score
Account Authentication Essentials,The system shall allow users to configure attendees without requiring them to be signed in.,The System shall provide the capability for users to join a webinar without prior registration.,0.6807
Adaptive Lowlight Brightness Settings,The client settings shall enable users to adjust the dark mode using a slider.,The client Settings shall provide the user with the capability to enable dark mode. Dark mode shall be enabled by default.,0.897
Alternative Feedback Solutions,"The native Zoom survey tools shall enable users to submit post-meeting surveys, requiring version 5.8.3 or higher.","The System **shall** allow users to provide feedback at the end of a meeting by utilizing a link to a third-party survey, integrated with the native Zoom survey tools.",0.6833
Alternative Hosts and Original Links,The software system shall enable users to assign scheduling privileges to co-hosts in both sub-accounts and the master account.,The Software System shall permit a user with Master Account privileges to assign scheduling privileges to a Normal Participant within a linked Master/Sub Account structure.,0.866
Behind the Scenes Reactions,The system shall provide users the capability to request access to the backstage area anonymously.,"The software system **shall** allow authorized users to request access to the backstage area at the account, group, and user levels.",0.7952
Channel Search and Filtering,The software system shall provide users the capability to return chat messages as thumbnail previews.,The system shall provide users with the ability to view a history of chat messages. Messages containing mentions shall be displayed as thumbnail previews.,0.7998
Cloud File Storage in SharePoint,The system shall provide users with the capability to receive notifications upon the successful download of shared files.,The system shall provide a mechanism for users to receive documents when a download attempt fails.,0.7065
Collaborative Breakout Room Assignments,The software system shall enable users to rename the Breakout Room assignments of meeting participants while in the waiting room.,The meeting platform shall provide the capability for authorized users to rename participants within an active Breakout Room.,0.8507
Collaborative Zoom Transcription Apps,The Zoom for Government application shall enable users to sign in as different user types directly within the Zoom desktop client.,"The Zoom application **shall** provide users with the ability to sign in, supporting multiple user types, once installed.",0.8343
Consent for Unmuting Participants,The desktop client version 5.1.0 shall enable users to disable meetings when the host mutes and subsequently unmutes a participant.,"The desktop client shall provide users the capability to disable meeting notifications for participants being unmuted, and for the host.",0.8213
Crash Log Pairing Insights,"The Zoom desktop client shall provide users with the capability to access logs, provided that this feature is configured for their Zoom account.",The Zoom desktop client shall provide the capability for users to share report and log files.,0.8403
Deep Linking for Media,The mobile application shall enable users to share GIPHY content with a size limit of 30 MB.,The mobile application **shall** provide the user with the capability to view GIPHY content utilizing deep linking.,0.714
Default Notification Settings Management,The software system shall enable users to disable desktop notifications while in a meeting.,The IM message system shall provide users with the capability to disable desktop notifications by default.,0.7411
Dialing Phone Numbers,The software system shall enable users to right-click on outbound caller ID numbers while engaged in a call.,The software system shall provide the capability for users to identify highlighted numbers during an active call.,0.7943
Direct Text Contact Results,The system shall enable users to add a URL through the contact integration feature in Zoom Phone.,The Zoom Phone Pro system **shall** provide users the capability to initiate a specific application or Uniform Resource Locator (URL) by sending a designated text message.,0.7603
Dynamic GIF Viewer Actions,The system shall provide users with the capability to select files prior to sending a GIF.,The Zoom desktop client shall provide the capability for users to share a GIF via a context menu that appears when the user hovers the mouse pointer over a sent image or file.,0.6033
Egnyte Malware Access Flagging,"The system shall provide users with the capability to disable Zoom files, which shall be disabled by default.",The Zoom App **shall** provide users with the capability to flag the MSI/GPO option setting if desired.,0.5469
Emergency Location Notification,The client shall enable users to manage inbound call notifications directly within the client interface.,The software system **shall** provide the capability for users to manage Phone tab entries that are in the dialing state.,0.6013
Emoji Matching Challenge,The software system shall enable users to select chat messages and apply reactions.,The desktop client shall permit the user to enter chat messages.,0.5866
Empowered Call Transfer Experience,The Windows desktop client shall enable users to launch an external application from in-call controls without requiring the main Zoom client window to be opened.,The system shall provide the capability to launch missed calls without requiring the main Zoom client window to be open.,0.7493
Encrypted Message Bot Quotes,"The software system shall provide users with the capability to search for channels, thereby eliminating the need for users to scroll through the list.",The Encrypted Message Bot Quotes shall provide users with the ability to search messages. The system shall support search and link previews with advanced chat encryption.,0.3321
End-to-End Encryption Overview,The patient portal shall provide users with the capability to disable the camera when necessary.,The patient portal shall provide users the capability to block the transmission of meeting data.,0.6698
Event ID Bar Calendar,"The desktop client shall enable users to remove Participants, provided that they have been granted write permission.",The desktop client shall allow authorized users to remove invitation write permissions.,0.7593
Fresh SSO Login Requirements,The system shall enable users to configure the requirement for a fresh Single Sign-On (SSO) login at the account level.,The software system shall provide users with the ability to use previously used Single Sign-On (SSO) URLs upon each re-opening of the client.,0.7837
Full Toolbar Screen Sharing,The software system shall provide users with the capability to automatically pause the sharing toolbar when entering full screen mode.,The software shall provide the capability for the user to enter full-screen mode after pausing and subsequently stopping screen sharing.,0.8579
GMT Regional Data Scheduling,The web portal shall enable users to block specific countries or regions from accessing meeting traffic.,The system shall allow an authorized participant to restrict meeting ingress to users located within specified countries or regions.,0.8164
Group Call Line Sharing,"The web portal shall provide users with the capability to take over call pickup groups, contingent upon authorization by an account owner and administrator.",The web portal shall provide users with the ability to perform call pickup for call pickup groups.,0.8878
Group Chat Topics,The software system shall provide users with the capability to name up to 50 chats or channels.,The software system shall provide administrators and specific users the ability to manage up to 50 chats or channels within each folder.,0.8787
Guest Screen Sharing Restrictions,The software system shall enable users to apply meeting restrictions to specific users or groups.,The software shall provide users with the capability to apply security restrictions to individual users or to defined groups.,0.8125
HIPAA-Compliant Local Recording,The software system shall provide users with the capability to resolve issues related to invalid local recording paths for audio devices.,The system shall provide users with the capability to initiate local recording paths and mute upon entry simultaneously.,0.6853
Immersive 89 Aspect Ratio,The software system shall enable users to resolve issues with 8:9 aspect ratio videos that do not function properly during an immersive view.,The Immersive View shall provide users with the capability to play videos with an incorrect 8:9 aspect ratio in a randomized manner.,0.8192
Immersive Self-Spotlighting Menu,"The Immersive View shall enable users to pin themselves, contingent upon obtaining permission from the host.",The Immersive View shall provide users the capability to pin one location with host permission.,0.8277
Incoming Call Sound Alerts,The software system shall enable users to schedule phone calls for the Waiting Room and shall notify when participants join or leave a meeting.,The meeting system shall provide users with the ability to join incoming calls while in the Waiting Room.,0.8307
Interactive Webinar Q&A Session,"The webinar shall provide users the capability to sort the Q&A section, with the default sorting order being chronological.",The webinar system **shall** provide users with the capability to sort virtual backgrounds for webinar attendees.,0.7402
Join Before Time Limit,"The software system shall provide users the capability to schedule a meeting ID with the ""Join Before Host"" feature enabled, allowing participants to join the meeting 5, 10, or 15 minutes prior to the scheduled start time.","The Software **shall** provide a mechanism for the user to configure a pre-meeting join time of 5, 10, or 15 minutes prior to the scheduled meeting start time.",0.8692
Managing Imported Contacts in O365,The software system shall provide users with the capability to import participants from O365.,The system **shall** provide the user with the capability to remove a participant from the Office 365 service.,0.5274
Manual Closed Captioning Solutions,The software system shall provide users the capability to disable the display of closed captioning in the video window.,"The software system shall provide a mechanism for users to disable the display of manual closed captions, preventing them from being visible to all users.",0.9214
Missed Call Meeting,The system shall enable users to join missed meeting calls by dialing a designated phone number.,The video meeting system shall provide users with the capability to indicate unavailability for calls to their associated phone number.,0.737
Mono Audio Content Sharing,The software system shall enable users to provide participants with access to shared content.,The software system **shall** provide users with the ability to share content with participants upon initiation of the share.,0.8724
Nonverbal Feedback in Hosting,The software system shall provide users with the capability to disable meeting reactions for each participant in the participant list.,The Meeting Reactions feature shall provide users with the ability to disable participant reactions by default.,0.8312
Notification Preview Window,The system shall enable users to display Personal Notes when accessed directly through the system's push notification.,The system shall provide users with the ability to interact with push notifications by launching the associated content in a new browser window upon clicking.,0.6414
Optimizing Hardware for Accelerated Sharing,The software system shall enable users to select videos individually.,The client shall provide the user with the capability to select multiple desktop programs for video sharing concurrently.,0.6545
Organizing Email Contacts,The software system shall enable users to configure a phone number when adding or editing a synchronized cloud contact.,The Software Component shall provide the capability for users to synchronize a phone number when adding or editing a synchronized cloud contact.,0.8775
Outbound Call Queue Management,The software system shall enable users to view call log entries while they are engaged in an active call.,The software system shall provide users with the capability to listen to the direct phone number associated with a call log entry in the call queue.,0.8164
PTZ Camera Rotation Insights,The software system shall enable users to rotate images captured by external cameras.,The client shall provide users with the ability to rotate images smoothly.,0.7553
Password Authentication Requirements,The desktop client shall enable users to configure authentication settings in accordance with the requirements established by their account owner or administrator.,The desktop client shall provide the capability for users to be invited to authentication services configured by their account owner or administrator.,0.8785
Personal Contact Disclosure,The system shall enable users to initiate calls using their personal meeting ID from the Phone tab.,"The System **shall** provide the capability for a user to initiate a call via a phone number displayed within the History, Voicemail, Lines, or SMS tabs.",0.7537
Phone Volume Unmuting Issues,The Zoom application shall enable users to access the status of a specified subset of users.,The Zoom application **shall** provide users with the capability to resolve unmuting status issues for a subset of users following the retrieval of a Zoom Phone call from hold.,0.6701
Polished Language Interpretation,The system shall allow the host to configure the operating system's language through the web portal.,"The Software System **shall** provide the User with the capability to select the operating system language, which **shall** include support for Italian and Vietnamese.",0.7648
Profile Photo Visibility Control,The Zoom Chat system shall provide users with the capability to display participants' profile photos for the Show Video Message Button in the account-level web settings.,The Zoom Chat shall provide users with the ability to enable user profile pictures when enabled during a meeting.,0.8878
Public Channel Privacy Concerns,The software system shall enable users to activate privacy controls when creating or editing a channel or adding a member.,"The public channel **shall** provide users the capability to add new members with an associated privacy setting, thereby enhancing privacy awareness for all customers.",0.7745
Real-Time Preapproved App Notifier,The Active Apps Notifier shall enable users to receive notifications in real-time.,The Active Apps Notifier shall provide users with the ability to receive details for various features.,0.8596
Registry Key Updates for MSI Switches,The system shall enable users to manage the latest version of the IT admin package following an update.,The IT administration package shall provide functionality for users to disable silent automatic updates and remove default settings.,0.6366
SAML Mapping for Display Names,The software system shall enable users to configure their gender pronouns upon joining a meeting.,"The Software System **shall** provide users with the ability to specify gender pronouns. When a user joins a meeting via the ""Join"" button in the desktop client, the Software System **shall** block single sign-on (SSO) users from modifying their display name.",0.7898
Shared Screen Focus Mode,The software system shall provide users the capability to select an MP4 video from the 'More' menu located on the toolbar.,The Software Component shall provide users the capability to enable MP4 video recording.,0.7384
Simultaneous Joining Issues,The desktop client shall enable users to schedule a profile picture using a previously established vanity URL.,The desktop client shall enable users to join meetings using the profile picture associated with their previously signed-in account.,0.7079
Syncing Outlook with Zoom,The Zoom desktop client shall enable users to override the default communication option in MSI deployments.,The Zoom desktop client shall provide the capability to initiate calls to participants utilizing Microsoft Installer (MSI) deployments.,0.7549
UNC Security Leak: Hashed Networks,The software system shall provide users with the capability to edit their hashed password links.,The system shall provide the capability for users to modify their hashed passwords.,0.817
Upgrading to 64-bit Version,"The desktop client shall provide users with the capability to prevent automatic upgrades of the 32-bit version, which shall be disabled by default.",The desktop client shall provide the user with the capability to prevent automatic upgrades of the 32-bit version when checking for updates.,0.9551
Uruguay Call Queue Management,The software system shall provide users with the capability to route calls from the Receive Queue to telephone numbers located in Uruguay.,The software system shall provide users with the capability to toggle routing for Receive Queue Calls to numbers located in Uruguay.,0.9191
Virtual Autoreversal Post-Meeting Insights,The system shall enable users to activate the Auto Reverse Virtual Background feature for video participants using client version 5.6.3 or higher.,"The Software System **shall** provide users with the capability to enable or disable the ""Auto-Reverse Virtual Background"" feature for video participants. This capability **shall** be controllable by account administrators.",0.8326
Virtual Backgrounds and Filters,"The Zoom client shall enable users to select a frame to modify the appearance of their video through color grading, foreground filters, and frame filters.","The zoom client shall provide a user interface element, accessible by clicking anywhere on the video image, that enables the user to add virtual background color grading, foreground filters, and frame filters.",0.9123
Voice Message Sharing Settings,"The software system shall provide users with the capability to enable the ""Do Not Disturb"" voice message during sharing activities.",The software system shall enable the VoiceMessageButton when the sharing functionality is active.,0.7415
